CaseID,weight_pop,B3,ND2,B7_a,GH1,educ_4cat,ppethm
267,18657.6784,3,3,2,2,2,1
268,27512.6404,3,3,1,1,2,1
269,11325.2852,1,3,1,2,3,1
270,24781.5552,4,3,2,2,3,1
271,9019.476,3,3,3,1,4,1
272,20308.8895,3,2,3,1,3,1
273,19843.1937,2,3,3,2,3,1
274,17891.5561,3,2,4,2,4,1
275,14140.9356,3,3,4,2,4,1
276,20891.7618,3,3,3,2,3,1
277,27414.2726,2,3,2,3,3,2
278,28651.2769,4,3,3,1,2,1
279,10305.5614,3,3,1,1,4,1
280,13090.7683,2,3,2,2,4,1
281,10440.3513,3,3,3,4,4,1
282,20117.9797,2,3,3,1,3,1
283,33949.8607,2,3,3,3,3,1
284,13900.4068,3,3,2,2,4,1
285,26130.5262,4,3,2,1,4,2
286,25577.0393,3,3,2,1,3,1
287,15736.0434,3,3,3,2,3,1
288,10649.333,3,3,2,2,3,1
289,14467.5926,3,3,2,3,2,1
290,37592.4328,4,3,3,2,4,3
291,21053.5119,4,2,3,3,2,1
292,19454.1777,3,3,1,2,1,1
293,10965.4948,2,2,1,2,4,1
294,20254.2492,2,3,1,1,3,1
295,19790.4153,4,3,2,1,4,1
296,17167.2852,2,2,1,1,3,2
297,11703.031,1,3,2,1,4,1
298,15644.4908,3,2,2,2,4,1
299,13613.9724,2,3,1,1,4,1
300,15321.6202,3,3,2,1,4,1
301,16844.592,1,1,1,1,3,1
302,15321.6202,3,2,2,1,4,1
303,19501.1224,3,3,2,1,3,1
304,21065.5409,4,3,2,3,3,1
305,16258.6986,3,3,3,2,2,1
306,20699.9577,1,3,2,2,2,1
307,18693.8355,4,3,3,1,3,1
308,30998.7086,4,3,2,1,3,1
309,25685.9139,3,2,3,1,4,1
310,11248.1266,3,3,2,2,4,1
311,18746.3744,3,3,2,1,2,1
312,27765.0647,1,1,2,2,2,1
313,16639.2413,4,2,1,1,3,1
314,15321.6202,2,1,3,3,4,1
315,8441.2201,3,3,3,2,4,1
316,14004.4673,2,3,2,3,4,1
317,13090.7683,3,2,3,1,4,1
318,38402.088,3,2,1,4,1,4
319,13207.1118,3,2,2,1,4,1
320,14305.0933,4,3,2,4,3,1
321,21369.1931,3,2,2,3,4,1
322,13763.8121,2,5,1,2,4,1
323,11074.0956,1,3,1,1,4,2
324,13063.8424,2,3,1,2,4,1
325,21793.3678,3,3,2,2,4,1
326,16311.9051,2,3,2,3,4,2
327,14576.2789,3,3,2,1,4,1
328,25652.3835,2,3,1,2,3,1
329,17404.0326,3,3,3,1,2,1
330,10305.5614,3,2,2,1,4,1
331,16705.3888,3,3,3,2,3,1
332,16389.9298,2,3,2,1,2,1
333,15321.6202,3,3,2,1,4,1
334,38224.6514,2,1,1,4,3,4
335,26482.4304,2,3,3,1,3,1
336,12892.2779,1,3,1,2,3,1
337,13090.7683,2,2,3,2,4,1
338,10305.5614,3,1,2,3,4,1
339,24760.4106,5,3,3,3,3,2
340,17027.4708,4,2,1,1,3,1
341,16311.9051,2,3,3,3,4,2
342,43921.5933,4,3,3,4,1,4
343,28383.1341,3,3,2,1,2,1
344,15280.2056,4,3,4,2,2,1
345,27746.4885,3,2,2,2,4,1
346,19790.4153,2,1,3,1,4,1
347,52911.6863,3,3,3,3,3,4
348,21515.8307,2,2,1,1,4,1
349,18932.1979,3,2,2,3,3,1
350,11327.3877,2,3,3,1,2,5
351,22907.0083,3,3,3,3,1,1
352,25291.9499,1,3,3,1,3,1
353,22386.3929,2,3,3,2,2,1
354,20929.5501,3,3,3,2,2,1
355,17339.9346,3,2,2,2,2,1
356,14152.9194,4,3,3,2,2,1
357,46813.5632,4,3,3,3,3,1
358,15051.257,3,3,1,1,2,1
359,13855.2246,4,3,1,2,3,1
360,19799.3672,3,3,3,1,4,2
361,21434.0698,2,3,1,3,1,1
362,15320.7296,2,2,1,1,2,1
363,47278.1501,3,2,3,3,2,1
364,9118.3914,2,3,3,2,4,1
365,14140.9356,2,3,3,2,4,1
366,16391.8927,5,3,3,3,2,1
367,17215.9803,3,3,2,3,1,5
368,33035.7919,4,5,3,2,2,2
369,14152.9194,3,3,2,3,2,1
370,13900.4068,3,3,3,4,4,1
371,12233.8219,3,2,3,2,3,1
372,13965.5005,3,3,2,2,3,1
373,8840.1091,3,3,2,1,4,4
374,49239.5487,3,2,2,3,2,2
375,26467.5892,4,3,3,1,4,2
376,29155.6554,2,3,3,2,2,1
377,14001.9772,2,3,4,1,4,1
378,16705.3888,3,2,3,2,3,1
380,23413.66,2,3,2,3,3,1
381,15092.0511,3,3,3,1,4,1
382,19818.4677,3,3,2,1,2,1
383,15501.4887,5,3,1,3,4,1
384,14140.9356,2,3,3,2,4,1
385,16899.1825,3,3,2,1,4,2
386,15978.5584,2,3,2,2,4,4
387,22142.6835,2,3,2,2,2,1
388,34885.8981,3,2,2,1,2,1
389,18393.4481,3,3,2,1,3,1
390,19689.1633,3,3,1,2,3,1
391,15882.4633,3,3,3,4,4,1
392,22181.6458,4,3,1,2,2,1
393,19284.4019,5,3,1,1,2,1
394,19475.5771,3,1,2,3,3,1
395,22438.3553,2,1,2,3,4,4
396,26326.1987,3,3,2,1,3,1
397,10305.5614,3,2,2,1,4,1
398,10305.5614,1,3,1,2,4,1
399,19152.5501,2,3,3,2,4,1
400,10857.7405,2,3,3,2,4,1
401,14305.0933,3,3,2,2,3,1
402,15321.6202,3,2,2,1,4,1
403,20089.3827,1,3,3,2,3,1
404,42377.3402,3,3,3,1,3,1
405,24075.7338,3,3,1,3,3,3
406,25043.4142,3,3,3,1,3,1
407,16302.7652,3,3,2,1,4,1
408,15987.9468,3,3,2,3,3,1
409,12868.1023,2,3,2,2,4,1
410,19892.9415,3,3,3,1,4,1
411,16853.3823,2,3,1,2,4,1
412,20481.7834,2,1,3,2,4,1
413,13817.5687,2,3,2,1,3,5
414,53047.7009,3,3,1,1,3,2
415,15898.4642,3,3,3,1,4,2
416,30850.2665,3,3,2,1,4,1
417,16733.4566,2,3,1,3,4,1
418,80826.745,2,3,3,1,1,4
419,15092.0511,3,3,3,2,4,1
420,16899.5227,3,2,3,2,4,1
421,13090.7683,2,1,2,2,4,1
422,10151.1496,4,3,2,2,4,1
423,15051.257,2,3,1,1,2,1
424,15231.9931,2,2,2,3,3,4
425,13577.5963,3,3,2,2,3,1
426,13900.4068,1,3,1,3,4,1
427,15051.257,2,4,2,2,2,1
428,20210.8441,3,3,2,1,2,1
429,29053.5394,3,3,2,1,4,2
430,15321.6202,2,3,3,2,4,1
431,30058.8039,2,2,3,3,4,3
432,23982.9993,3,3,2,1,3,1
433,12153.1069,2,3,3,1,4,1
434,23982.9993,2,2,2,2,3,1
435,17477.1008,3,3,3,2,2,1
436,28104.2223,3,3,3,1,4,1
437,32983.7615,4,2,2,1,3,1
438,30850.2665,3,3,3,1,4,1
439,7350.178,1,3,2,1,4,1
440,21359.9716,3,3,3,1,4,4
441,29392.9448,3,2,2,4,3,4
442,16140.2999,3,2,3,2,4,2
443,16899.5227,3,2,2,2,4,1
444,8544.1264,3,3,3,3,4,1
445,13374.1585,3,3,3,1,3,1
446,20617.8134,3,3,1,1,3,1
447,25685.9139,3,3,3,1,4,1
448,14052.8508,3,2,3,2,4,1
449,17903.5345,1,3,2,2,2,1
450,13090.7683,3,3,3,2,4,1
451,38436.3086,2,3,1,1,1,1
452,13063.8424,3,1,3,1,4,1
453,6957.7528,4,3,3,1,3,5
454,11114.6517,2,3,3,3,3,5
455,12570.0952,4,3,3,1,4,1
456,24347.811,3,2,2,2,3,1
457,30850.2665,2,3,3,1,4,1
458,27746.4885,3,1,3,2,4,1
459,17011.7611,3,3,3,2,3,1
460,9626.1235,3,3,3,3,4,1
461,12111.1869,3,5,2,1,3,1
462,19435.5888,3,3,2,2,2,1
463,19497.3383,3,3,2,3,4,4
464,12969.3468,3,3,4,1,4,5
465,26575.7818,3,3,2,2,2,2
466,16258.6986,3,3,3,1,2,1
467,21756.9117,2,3,2,1,4,3
468,13900.4068,3,3,3,2,4,1
469,19162.689,2,3,1,2,2,1
470,30186.4321,3,3,3,4,3,1
471,13299.2109,4,2,3,1,4,1
472,13289.8954,3,4,3,1,4,1
473,13090.7683,2,3,2,2,4,1
474,24744.6537,3,3,2,2,1,1
475,21053.5119,1,3,1,2,1,1
476,37119.8736,3,3,2,2,2,1
477,25291.9499,3,2,2,1,3,1
478,14140.9356,3,2,4,2,4,1
479,12641.8712,3,2,2,1,4,1
480,21654.1543,4,1,1,3,3,1
481,12933.6528,3,3,2,2,3,1
482,26472.4545,4,2,1,1,3,1
483,30038.9379,4,3,3,1,3,1
484,17404.0326,3,3,3,2,2,1
485,8930.8445,2,2,3,2,4,1
486,36242.7783,4,3,2,2,2,1
487,14300.5259,2,3,2,2,3,4
488,17782.6816,1,3,1,3,2,1
489,21579.2115,3,2,3,2,4,1
490,29150.803,3,2,3,1,4,3
491,20481.7834,2,3,1,1,4,1
492,10965.4948,2,4,1,2,4,1
493,12953.5659,3,3,1,1,3,1
494,23235.1701,2,3,2,3,2,2
495,22386.3929,1,3,1,2,2,1
496,15748.3939,1,3,1,1,3,1
497,27052.0386,4,3,2,1,2,1
498,27746.4885,4,4,3,1,4,1
499,29582.1365,4,3,2,3,2,2
500,13090.7683,3,3,2,1,4,1
501,10409.0856,2,3,3,3,4,1
502,30702.6562,4,3,3,1,3,1
503,31593.5977,5,2,3,3,3,2
504,30054.151,2,2,2,1,3,2
505,21555.6205,2,3,2,3,4,1
506,16490.7957,4,3,3,1,4,2
507,4282.3836,3,1,3,2,4,5
508,13577.5963,2,2,2,2,3,1
509,7300.0882,1,3,2,2,4,1
510,18596.2755,3,2,3,2,2,1
511,16258.6986,2,1,2,1,2,1
512,32347.7257,3,3,1,2,3,1
513,15923.6687,2,3,2,2,2,1
514,10509.691,3,3,3,2,3,1
515,16302.7652,1,3,1,2,4,1
516,21369.1931,5,3,3,3,4,1
517,13704.3897,3,3,2,2,2,1
518,10857.7405,1,3,1,2,4,1
519,11248.1266,3,3,3,2,4,1
520,19604.8053,5,3,3,1,4,2
521,14305.0933,2,3,1,2,3,1
522,23687.5548,1,3,1,3,4,1
523,13294.827,3,2,3,2,3,1
524,11981.7294,2,3,1,3,3,1
525,17530.7834,3,3,3,2,2,1
526,21072.4714,3,3,3,1,4,1
527,9731.6919,4,2,3,1,4,1
528,63360.0998,3,3,2,4,2,1
529,17962.2974,1,2,2,1,2,5
530,13150.606,3,2,2,2,3,1
531,32983.7615,2,3,2,1,3,1
532,11471.384,1,3,1,3,4,4
533,16361.1544,4,3,2,2,3,1
534,20050.4706,2,3,3,2,2,1
535,10305.5614,2,3,3,3,3,1
536,24124.51,3,2,2,3,3,1
537,15051.257,1,3,2,2,2,1
538,33954.6643,4,3,3,1,3,2
539,27062.0785,1,3,2,2,3,1
540,18597.4579,2,2,2,2,3,1
541,21279.8529,4,2,2,3,4,1
542,16142.5632,4,2,3,1,4,1
543,17821.3844,2,2,1,2,3,1
544,15280.2056,3,3,2,2,2,1
545,31538.1668,2,1,2,1,2,4
546,25574.1687,3,3,3,3,4,2
548,21493.2073,2,1,1,1,4,2
549,13855.2246,3,3,2,3,3,1
550,11497.5571,3,2,3,1,3,1
551,15973.3754,5,3,3,1,4,1
552,16183.5754,1,3,2,2,2,1
553,13758.0015,3,3,3,2,3,1
554,9626.1235,4,3,3,1,4,1
555,15321.6202,3,2,2,1,4,1
556,23188.1982,2,3,2,2,2,1
557,21722.5301,4,2,3,2,3,1
558,8657.652,3,2,3,2,4,1
559,16098.9296,2,3,2,2,2,1
560,18800.2184,2,3,2,2,2,1
561,20250.0111,3,3,2,3,3,1
562,28993.6131,3,3,2,1,4,1
563,34466.2864,3,1,2,1,3,1
564,23137.7242,3,3,3,1,2,1
565,24770.7792,4,3,2,1,3,1
566,9019.476,3,3,3,1,4,1
567,21500.7201,3,3,3,3,3,4
568,22727.7922,3,2,3,1,4,4
569,13374.1585,2,1,2,1,3,1
570,17027.4708,2,2,2,1,3,1
571,25301.7277,4,3,2,2,2,2
572,40459.8301,4,3,3,1,2,4
573,20450.9761,1,3,1,1,3,1
574,10512.3875,3,3,3,1,4,1
575,23515.4649,3,3,1,4,2,2
576,19435.5888,2,2,1,3,1,1
577,20481.7834,5,4,4,2,4,1
578,13704.3897,2,3,1,1,3,1
579,26275.2794,3,3,3,1,3,1
580,16302.7652,4,3,3,1,4,1
581,16302.7652,3,2,3,2,4,1
582,14001.9772,3,2,3,2,4,1
583,21579.2115,2,3,2,2,4,1
584,13900.4068,1,3,2,1,4,1
585,14140.9356,3,3,3,1,4,1
586,18596.2755,2,3,2,2,2,1
587,13863.2747,1,3,1,1,3,1
588,12517.6437,3,3,2,1,4,1
589,16361.7927,3,3,2,3,3,1
590,11072.8075,4,3,3,2,3,1
591,25979.7551,3,1,2,1,4,1
592,11325.2852,2,2,3,2,3,1
593,13090.7683,4,3,2,2,4,1
594,29150.803,2,3,1,1,4,3
595,18800.2184,4,5,2,3,2,1
596,11650.3249,4,3,2,3,3,1
597,18746.3744,1,3,2,1,2,1
598,13063.8424,2,3,2,2,4,1
599,72675.2684,4,3,2,2,3,3
600,36936.9117,4,3,4,2,2,4
601,4767.07,3,1,3,2,4,5
602,10352.2207,1,3,2,2,3,1
603,20411.4205,2,3,1,1,2,1
604,27062.0785,2,2,2,2,3,1
605,16142.5632,4,2,4,1,4,1
606,14457.3579,3,3,2,4,3,4
607,11033.7386,3,3,3,3,3,5
608,20929.5501,3,2,4,2,2,1
609,16131.8983,3,3,2,1,3,1
610,14007.173,3,3,3,1,3,1
611,11402.9941,3,3,3,2,3,1
612,14140.9356,1,2,2,2,4,1
613,16024.5446,2,1,3,2,2,1
614,30998.7086,1,3,1,1,3,1
615,17327.2595,2,3,1,1,1,1
616,13150.606,3,3,3,2,3,1
617,16098.9296,1,3,2,2,2,1
618,17011.7611,2,5,3,2,3,1
619,33709.3085,2,2,1,2,3,4
620,23903.9541,3,3,2,2,1,4
621,13095.626,1,3,2,2,3,1
622,10965.4948,4,3,2,2,4,1
623,26509.7717,3,3,2,2,1,1
624,39421.2783,2,4,2,1,2,4
625,13289.8954,2,3,3,1,4,1
626,17709.3186,3,3,1,3,2,1
627,45621.6696,3,3,2,3,2,4
628,5528.8393,3,3,1,2,3,5
629,20322.4329,3,4,2,2,4,2
631,16093.4932,4,3,3,2,4,1
632,17127.8861,2,2,2,1,4,3
633,13186.4986,2,2,2,1,4,2
634,14305.0933,3,3,1,2,3,1
635,24347.811,3,3,3,1,3,1
636,16302.7652,2,2,2,1,4,1
637,15483.2334,2,3,2,2,2,1
638,16733.4566,2,3,2,2,4,1
639,24619.3862,2,3,2,1,3,1
640,20174.8978,3,3,2,2,4,1
641,10398.3501,1,3,2,1,4,1
642,15092.0511,3,2,2,1,4,1
643,11256.4467,3,3,3,2,4,3
644,16258.6986,3,2,2,1,2,1
645,10963.1223,1,3,1,1,4,4
646,34128.0984,2,2,1,4,3,2
647,12113.6041,3,2,4,3,3,1
648,20728.0943,1,3,1,2,1,1
649,4787.5224,3,3,2,3,4,1
650,13431.1949,2,3,3,1,4,1
651,17404.0326,4,3,2,2,2,1
652,16541.2304,3,3,3,2,3,1
653,29053.5394,5,3,3,1,4,2
654,16302.7652,1,3,3,1,4,1
655,19162.3062,2,3,2,3,4,3
656,13289.8954,3,3,1,2,4,1
657,16131.8983,3,3,1,1,3,1
658,20850.7995,4,3,2,1,4,1
659,24240.4411,2,1,2,2,4,3
660,23370.1537,2,3,2,2,2,1
661,15280.2056,2,2,3,2,2,1
662,25043.4142,3,2,2,2,3,1
663,9731.6919,1,3,1,3,4,1
664,20271.1524,2,3,2,2,3,1
665,21722.5301,2,1,2,3,3,1
666,23922.6348,4,2,2,3,4,1
667,24037.7432,2,2,3,1,3,1
668,12517.6437,2,3,1,1,4,1
669,30850.2665,4,1,3,1,4,1
670,5356.1705,3,2,3,2,3,5
671,15209.6036,2,3,1,2,2,1
672,22386.3929,3,3,3,2,2,1
673,16524.1704,1,3,3,2,3,1
674,14140.9356,3,3,3,1,4,1
675,16142.5632,2,3,2,2,4,1
676,20174.8978,3,3,4,2,4,1
677,12233.8219,3,3,3,1,3,1
678,22877.5538,3,4,3,3,3,4
679,24193.2587,3,5,2,1,3,1
680,13855.2246,3,3,2,1,3,1
681,23443.4148,2,3,1,3,2,1
682,13468.8729,3,3,2,1,3,1
683,26228.611,3,2,2,2,1,1
684,24377.4595,3,3,2,2,3,1
685,8441.2201,3,3,2,2,4,1
686,13090.7683,3,3,3,2,4,1
687,22386.3929,3,3,3,1,2,1
688,13613.6049,2,3,3,2,3,1
689,20929.5501,3,3,3,2,2,1
690,11611.0852,3,3,2,2,2,1
691,20220.9492,4,2,3,1,4,1
692,34784.5668,1,3,1,1,3,3
693,22142.6835,2,3,1,2,2,1
694,19240.2467,3,3,3,1,3,1
695,20450.9761,2,3,2,3,3,1
696,34139.8977,3,2,1,3,1,1
697,27999.4238,4,2,2,3,1,2
698,9870.8712,3,3,1,1,2,1
699,18413.5359,2,3,1,3,2,1
700,13992.7265,3,1,3,2,3,1
701,13289.8954,2,2,1,2,4,1
702,20250.2455,2,3,1,1,2,1
703,22649.1151,4,3,2,1,2,1
704,15051.257,1,3,1,2,2,1
705,18951.9634,3,3,2,2,2,1
706,26646.7085,2,2,2,1,2,1
